slug,size,qty
duck,27,36
duck,29,34
duck,30,34
duck,32,30
duck,34,31
x-treme,35,0
soft-gel,35,5
relax,35,0
duck,35,31
sport-style,35,0
sportex,35,4
hunter-outdoor,35,1
hunter-flex,35,2
topas,35,7
hunter-camo,35,0
thermo-alu,35,12
simona,35,1
vital,35,9
memosole,35-36,9
heel-pad,35-37,32
heel-pad-fix,35-37,21
hunter-flex,36,0
hunter-camo,36,0
hunter-outdoor,36,0
vital,37,23
topas,37,18
sport-style,37,30
x-treme,37,0
hunter-outdoor,37,0
sportex,37,24
simona,37,7
hunter-flex,37,0
thermo-alu,37,10
hunter-camo,37,0
relax,37,1
soft-gel,37,22
memosole,37-38,18
soft-gel,38,23
sport-style,38,11
sportex,38,25
topas,38,23
vital,38,30
relax,38,3
simona,38,10
thermo-alu,38,25
hunter-camo,38,2
hunter-flex,38,6
hunter-outdoor,38,6
x-treme,38,2
heel-pad,38-40,19
heel-pad-fix,38-40,19
topas,39,21
thermo-alu,39,28
relax,39,11
vital,39,30
soft-gel,39,22
sport-style,39,0
simona,39,0
hunter-outdoor,39,0
sportex,39,62
hunter-flex,39,0
x-treme,39,2
hunter-camo,39,0
memosole,39-40,23
hunter-flex,40,11
hunter-outdoor,40,11
hunter-camo,40,7
relax,41,9
vital,41,19
soft-gel,41,16
simona,41,20
x-treme,41,4
thermo-alu,41,23
topas,41,17
hunter-camo,41,0
hunter-flex,41,0
sportex,41,56
hunter-outdoor,41,0
sport-style,41,3
memosole,41-42,21
heel-pad-fix,41-43,25
heel-pad,41-43,26
thermo-alu,42,16
hunter-flex,42,0
simona,42,20
hunter-camo,42,5
topas,42,22
relax,42,12
soft-gel,42,16
x-treme,42,6
sport-style,42,8
sportex,42,56
hunter-outdoor,42,6
vital,42,21
x-treme,43,3
simona,43,12
hunter-camo,43,0
sportex,43,28
vital,43,26
hunter-flex,43,0
hunter-outdoor,43,0
sport-style,43,0
relax,43,16
soft-gel,43,14
topas,43,20
thermo-alu,43,17
memosole,43-44,14
hunter-camo,44,7
hunter-flex,44,11
hunter-outdoor,44,6
heel-pad,44-46,30
heel-pad-fix,44-46,33
thermo-alu,45,9
soft-gel,45,12
x-treme,45,0
hunter-camo,45,0
sport-style,45,0
topas,45,17
vital,45,16
hunter-flex,45,0
simona,45,4
relax,45,17
sportex,45,11
hunter-outdoor,45,0
memosole,45-46,6
sport-style,46,0
soft-gel,46,3
x-treme,46,0
hunter-outdoor,46,1
simona,46,2
thermo-alu,46,2
hunter-camo,46,0
relax,46,21
vital,46,8
sportex,46,3
hunter-flex,46,1
topas,46,4
hunter-flex,47,0
hunter-camo,47,0
hunter-outdoor,47,0
active-gel,m42-45,30
heel-pad-grip,univerzalna,57
carbon,univerzalna,72
active-gel,z35-41,27
